2021-06-06 16:14:18 [INFO ] AppLog:46 - Update employee shift database: sucessfully, 4 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update employee position database: sucessfully, 4 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:50 - Update employee database: sucessfully, 13 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update provider database: successfully, 5 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update ingredient type database: successfully, 11 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update ingredient unit database: sucessfully, 3 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update ingredient unit conversion database: successfully, 0 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:45 - Update ingredient database: successfully, 24 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:53 - Update product database: successfully, 25 rows inserted.
2021-06-06 16:14:18 [INFO ] AppLog:46 - Update ingredient of product database: successfully, 25 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:46 - Update employee shift database: sucessfully, 4 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update employee position database: sucessfully, 4 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:50 - Update employee database: sucessfully, 13 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update provider database: successfully, 5 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update ingredient type database: successfully, 11 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update ingredient unit database: sucessfully, 3 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update ingredient unit conversion database: successfully, 0 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:45 - Update ingredient database: successfully, 24 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:53 - Update product database: successfully, 25 rows inserted.
2021-06-06 16:15:33 [INFO ] AppLog:46 - Update ingredient of product database: successfully, 25 rows inserted.
